name,begin_date,end_date
CRYO2,2010-04-15T17:47:00Z,2010-04-15T17:48:00Z
CRYO2,2010-05-03T17:55:00Z,2010-05-04T00:35:00Z
CRYO2,2010-05-04T18:38:00Z,2010-05-04T18:48:00Z
CRYO2,2010-05-05T17:44:00Z,2010-05-05T17:59:00Z
CRYO2,2010-05-06T18:26:00Z,2010-05-06T18:51:00Z
CRYO2,2010-05-18T00:42:00Z,2010-05-18T04:16:00Z
CRYO2,2010-05-18T23:51:00Z,2010-05-19T03:24:00Z
CRYO2,2010-05-20T00:38:00Z,2010-05-20T04:11:00Z
CRYO2,2010-05-20T23:46:00Z,2010-05-21T00:02:00Z
CRYO2,2010-05-27T00:27:00Z,2010-05-27T04:01:00Z
CRYO2,2010-05-28T01:14:00Z,2010-05-28T04:51:00Z
CRYO2,2010-06-15T03:02:00Z,2010-06-15T03:15:00Z
CRYO2,2010-06-18T01:14:00Z,2010-06-18T01:15:00Z
CRYO2,2010-07-20T12:37:00Z,2010-07-20T12:37:00Z
CRYO2,2010-10-02T03:01:00Z,2010-10-02T07:31:00Z
CRYO2,2010-10-28T06:33:00Z,2010-10-28T06:33:00Z
CRYO2,2010-12-16T03:07:00Z,2010-12-16T03:09:00Z
CRYO2,2011-01-21T10:05:00Z,2011-01-21T10:07:00Z
CRYO2,2011-03-11T08:19:00Z,2011-03-11T08:22:00Z
CRYO2,2011-04-14T09:34:00Z,2011-04-14T09:38:00Z
CRYO2,2011-06-01T06:13:00Z,2011-06-01T06:14:00Z
CRYO2,2011-07-28T04:25:00Z,2011-07-28T04:28:00Z
CRYO2,2011-09-01T11:13:00Z,2011-09-01T11:16:00Z
CRYO2,2011-09-29T08:29:00Z,2011-09-29T08:33:00Z
CRYO2,2011-10-21T09:21:00Z,2011-10-21T09:25:00Z
CRYO2,2011-11-09T12:47:00Z,2011-11-09T12:53:00Z
CRYO2,2011-11-29T07:07:00Z,2011-11-29T07:12:00Z
CRYO2,2011-12-21T09:39:00Z,2011-12-21T09:41:00Z
CRYO2,2012-02-16T06:47:00Z,2012-02-16T06:49:00Z
